altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1525.0,2019/2020,Manual,51990.0,Hatch,Flex,3941.0,13.4,Vermelho,Suspensão,2490.0,76.0,1774.0,Ford,1.0,Ford Ka,5.0,1037.0,257.0,51.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/ford/ka/2020/1-0-se-plus-flex/detalhes/10707678?page=detail&sort=0,
1821.0,2021/2021,Automática,185900.0,Picapes,Diesel,5354.0,,Cinza,Elétrica,3220.0,44.0,1860.0,Ford,3.2,Ford Ranger Cabine Dupla,5.0,2216.0,1180.0,80.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/ford/ranger-cabine-dupla/2021/xlt-3-2-turbodiesel-20v-4x4-aut/detalhes/8967030?page=detail&sort=0,
1417.0,2014/2015,Manual,36990.0,Hatch,Flex,3811.0,14.3,Branco,Suspensão,2472.0,124.3,1640.0,Renault,1.0,Renault Clio,5.0,913.0,255.0,50.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/renault/clio/2015/expression-1-0-16v-flex/detalhes/10828408?page=detail&sort=0,167.0
1510.0,2018/2019,Automática,62990.0,Hatch,Flex,3884.0,11.8,Prata,Suspensão,2460.0,66.8,1695.0,Toyota,1.3,Toyota Etios,5.0,978.0,270.0,45.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/toyota/etios/2019/x-1-3-aut-flex/detalhes/10828409?page=detail&sort=0,
1490.0,2012/2013,Manual,38990.0,Hatch,Flex,3595.0,,Branco,Suspensão,2385.0,40.0,1595.0,Kia,1.0,Kia Picanto,5.0,970.0,292.0,35.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/kia/picanto/2013/1-0-aut-flex/detalhes/10858112?page=detail&sort=0,
1414.0,2012/2012,Manual,35900.0,Hatch,Flex,3931.0,,Preto,Suspensão,2468.0,102.0,1645.0,Volkswagen,1.6,Volkswagen Gol,5.0,902.0,285.0,51.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/gol/2012/1-6-mi-total-flex-8v-4p/detalhes/10793383?page=detail&sort=0,183.0
1534.0,2021/2022,Automática,84310.0,SUV,Flex,4170.0,11.2,Preto,Elétrica,2600.0,50.642,1714.0,Citroën,1.6,Citroën C4 Cactus,5.0,1204.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/citroen/c4-cactus/2022/1-6-feel-aut-flex/detalhes/11577961?page=detail&sort=0,185.0
1826.0,2021/2022,Automática,175380.0,Picapes,Diesel,5264.0,,Branco,Hidráulica,3150.0,55.651,1850.0,Nissan,2.3,Nissan Frontier,5.0,1520.0,1054.0,80.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/frontier/2022/2-3-cd-turbo-attack-tdi-auto-4x4/detalhes/11215513?page=detail&sort=0,
,2022/2022,Automática,107890.0,SUV,Flex,0.0,,Cinza,Suspensão,,55.729,,Jeep,,Jeep Renegade,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/jeep/renegade/2022/longitude-t270-1-3-turbo-4x2/detalhes/11545260?page=detail&sort=0,
,2022/2022,Manual,60520.0,Hatch,Flex,0.0,,Preto,Suspensão,,63.066,,Fiat,,Fiat Argo,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/fiat/argo/2022/1-0-flex/detalhes/11631700?page=detail&sort=0,
,2022/2023,Manual,156820.0,Picapes,Diesel,0.0,,Branco,Suspensão,,44.807,,Mitsubishi,,Mitsubishi L200,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/mitsubishi/l200/2023/triton-gl-2-4/detalhes/11163075?page=detail&sort=0,
,2021/2022,Automática,143170.0,SUV,Gasolina,0.0,,Cinza,Suspensão,,49.49,,CAOA Chery,,CAOA Chery Tiggo 8,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/caoa-chery/tiggo-8/2022/txs-1-6/detalhes/11544061?page=detail&sort=0,
,2022/2023,Manual,55360.0,Hatch,Flex,0.0,,Prata,Suspensão,,60.351,,Fiat,,Fiat Mobi,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/fiat/mobi/2023/like-1-0/detalhes/11560011?page=detail&sort=0,
1590.0,2022/2022,Automática,98390.0,SUV,Flex,4310.0,11.6,Preto,Elétrica,2610.0,41.243,1760.0,Nissan,1.6,Nissan Kicks,5.0,1104.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/kicks/2022/sense-1-6/detalhes/11576454?page=detail&sort=0,173.0
1464.0,2022/2023,Manual,59880.0,Sedan,Flex,4213.0,13.4,Branco,Hidráulica,2467.0,56.158,1656.0,Volkswagen,1.0,Volkswagen Voyage,5.0,1015.0,480.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/voyage/2023/1-0-mpi-flex/detalhes/11500328?page=detail&sort=0,162.0
1590.0,2022/2022,Automática,95990.0,SUV,Flex,4310.0,11.6,Preto,Elétrica,2610.0,56.218,1760.0,Nissan,1.6,Nissan Kicks,5.0,1104.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/kicks/2022/sense-1-6/detalhes/11576519?page=detail&sort=0,173.0
1608.0,2022/2022,Manual,72990.0,Picapes,Flex,4474.0,11.9,Cinza,Hidráulica,2737.0,62.131,1732.0,Fiat,1.4,Fiat Strada,2.0,1078.0,1354.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/fiat/strada/2022/endurance-1-4-cs/detalhes/11563932?page=detail&sort=0,157.0
1590.0,2022/2022,Manual,89560.0,SUV,Flex,4310.0,11.6,Cinza,Elétrica,2610.0,61.397,1760.0,Nissan,1.6,Nissan Kicks,5.0,1104.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/kicks/2022/sense-1-6/detalhes/11560108?page=detail&sort=0,173.0
1590.0,2022/2022,Automática,102490.0,SUV,Flex,4310.0,11.4,Cinza,Elétrica,2610.0,45.936,1760.0,Nissan,1.6,Nissan Kicks,5.0,1136.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/kicks/2022/advance-1-6/detalhes/11576482?page=detail&sort=0,175.0
,2022/2023,Manual,77410.0,Sedan,Flex,0.0,,Preto,Suspensão,,60.905,,Chevrolet,,Chevrolet Onix Plus,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/onix-plus/2023/1-0-lt-turbo-flex/detalhes/11123700?page=detail&sort=0,
,2022/2023,Manual,79100.0,Hatch,Flex,0.0,,Preto,Suspensão,,58.034,,Chevrolet,,Chevrolet Onix,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/onix/2023/lt-1-0-flex/detalhes/11625589?page=detail&sort=0,
1453.0,2022/2023,Manual,64490.0,Hatch,Flex,4055.0,14.7,Prata,Elétrica,2538.0,53.674,1738.0,Peugeot,1.0,Peugeot 208,5.0,1047.0,265.0,47.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/peugeot/208/2023/like-1-0-flex/detalhes/11124040?page=detail&sort=0,
1470.0,2022/2023,Manual,68170.0,Hatch,Flex,4015.0,13.4,Prata,Elétrica,2530.0,50.162,1720.0,Hyundai,1.0,Hyundai HB20,5.0,1063.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/hyundai/hb20/2023/comfort-1-0-turbo-mt-flex/detalhes/11576315?page=detail&sort=0,190.0
1506.0,2019/2019,Manual,54900.0,Sedan,Flex,4492.0,12.6,Cinza,Suspensão,2600.0,85.0,1695.0,Nissan,1.6,Nissan Versa,5.0,1060.0,460.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/versa/2019/1-6-16v-s-flexstart-flex/detalhes/11148016?page=detail&sort=0,
1590.0,2017/2018,Automática,73990.0,SUV,Flex,4295.0,11.4,Branco,Suspensão,2610.0,107.0,1760.0,Nissan,1.6,Nissan Kicks,5.0,1129.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/kicks/2018/1-6-s-cvt-flex/detalhes/11153240?page=detail&sort=0,
1480.0,2013/2013,Automática,62800.0,Sedan,Flex,4540.0,,Cinza,Suspensão,2600.0,172.0,1760.0,Toyota,1.8,Toyota Corolla,5.0,1245.0,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/toyota/corolla/2013/sedan-1-8-dual-vvt-i-gli-flex/detalhes/11155626?page=detail&sort=0,
1552.0,2018/2018,Manual,58800.0,Hatch,Flex,3868.0,11.2,Bege,Suspensão,2467.0,59.0,1660.0,Volkswagen,1.6,Volkswagen Fox,5.0,1072.0,270.0,50.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/fox/2018/1-6-msi-comfortline-flex/detalhes/11155521?page=detail&sort=0,181.0
1470.0,2022/2022,Manual,68990.0,Hatch,Flex,3940.0,12.8,Branco,Elétrica,2530.0,51.483,1720.0,Hyundai,1.0,Hyundai HB20,5.0,989.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/hyundai/hb20/2022/evolution-1-0/detalhes/11223738?page=detail&sort=0,158.0
1626.0,2022/2023,Automática,124990.0,SUV,Flex,4270.0,,Preto,Elétrica,2570.0,45.0,1791.0,Chevrolet,1.2,Chevrolet Tracker,5.0,1271.0,393.0,44.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/tracker/2023/premier-1-2-turbo-aut/detalhes/10924248?page=detail&sort=0,185.0
1583.0,2018/2018,Automática,66900.0,SUV,Flex,4159.0,9.4,Preto,Suspensão,2542.0,90.732,1739.0,Peugeot,1.6,Peugeot 2008,5.0,1248.0,355.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/peugeot/2008/2018/griffe-1-6-16v-aut-flex/detalhes/11225254?page=detail&sort=0,185.0
1470.0,2022/2022,Automática,88900.0,Sedan,Flex,4474.0,,Branco,Elétrica,2600.0,32.658,1730.0,Chevrolet,1.0,Chevrolet Onix Plus,5.0,,469.0,44.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/onix-plus/2022/1-0-ltz-turbo-flex-aut/detalhes/11235139?page=detail&sort=0,
