altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1552.0,2017/2017,Manual,52900.0,Hatch,Flex,3868.0,,Vermelho,Suspensão,2467.0,75.0,1660.0,Volkswagen,1.0,Volkswagen Fox,5.0,1032.0,270.0,50.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/volkswagen/fox/2017/1-0-mpi-track-flex/detalhes/9271989?page=detail&sort=0,158.0
1470.0,2018/2018,Manual,49900.0,Hatch,Flex,3920.0,11.6,Cinza,Elétrica,2500.0,116.0,1680.0,Hyundai,1.0,Hyundai HB20,5.0,990.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/hyundai/hb20/2018/1-0-serie-especial-5-anos-flex/detalhes/9272284?page=detail&sort=0,158.0
1780.0,2014/2014,Automática,104900.0,Picapes,Diesel,5230.0,,Branco,Suspensão,3200.0,188.0,1850.0,Nissan,2.5,Nissan Frontier,5.0,2066.0,,80.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/nissan/frontier/2014/2-5-td-cd-4x4-sl-aut/detalhes/9272409?page=detail&sort=0,
1716.0,2016/2016,Automática,90990.0,SUV,Diesel,4232.0,,Vermelho,Hidráulica,2570.0,97.2,1798.0,Jeep,2.0,Jeep Renegade,5.0,1636.0,260.0,60.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/jeep/renegade/2016/longitude-2-0-tdi-4x4-aut/detalhes/9269322?page=detail&sort=0,
1476.0,2017/2017,Manual,54900.0,Hatch,Flex,3933.0,12.5,Vermelho,Suspensão,2528.0,71.85,1705.0,Chevrolet,1.4,Chevrolet Onix,5.0,1034.0,280.0,54.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/chevrolet/onix/2017/1-4-lt-spe-4/detalhes/9269400?page=detail&sort=0,
1693.0,2022/2022,Manual,88900.0,SUV,Flex,4376.0,11.2,Branco,Elétrica,2673.0,49.0,1832.0,Renault,1.6,Renault Duster,5.0,1255.0,475.0,50.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/renault/duster/2022/zen-1-6-16v-flex/detalhes/9273670?page=detail&sort=0,
1490.0,2019/2019,CVT,75900.0,Sedan,Flex,4425.0,,Branco,Suspensão,2550.0,60.0,1730.0,Toyota,1.5,Toyota Yaris Sedan,5.0,1130.0,473.0,45.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/toyota/yaris-sedan/2019/1-5-xl-cvt-flex/detalhes/9274496?page=detail&sort=0,
1658.0,2019/2019,Automática,79900.0,SUV,Flex,4232.0,9.5,Cinza,Hidráulica,2570.0,40.0,1798.0,Jeep,1.7,Jeep Renegade,5.0,1445.0,320.0,60.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/jeep/renegade/2019/sport-1-8-4x2-aut-flex/detalhes/9274600?page=detail&sort=0,180.0
1535.0,2012/2012,Automática,44900.0,Monovolume,Flex,3900.0,,Cinza,Suspensão,2500.0,121.0,1695.0,Honda,1.5,Honda Fit,5.0,1136.0,384.0,42.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/honda/fit/2012/1-5-16v-ex-cvt-flex/detalhes/9273927?page=detail&sort=0,
1635.0,2020/2020,Automática,109900.0,SUV,Flex,4416.0,8.8,Branco,Suspensão,2636.0,57.0,1819.0,Jeep,2.0,Jeep Compass,5.0,1523.0,410.0,60.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/jeep/compass/2020/2-0-sport-4x2-aut-flex/detalhes/9274876?page=detail&sort=0,188.0
