altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1521.0,2015/2016,Manual,45990.0,Hatch,Flex,3944.0,11.9,Prata,Suspensão,2460.0,90.0,1708.0,Citroën,1.4,Citroën C3,5.0,1110.0,300.0,55.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/citroen/c3/2016/tendance-1-5-8v-flex/detalhes/6758251?page=detail&sort=0,171.0
1696.0,2014/2015,Manual,56990.0,SUV,Flex,4241.0,,Branco,Suspensão,2521.0,112.0,1765.0,Ford,1.6,Ford EcoSport,5.0,1243.0,362.0,52.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/ford/ecosport/2015/ecosport-freestyle-1-6-16v-flex/detalhes/6758239?page=detail&sort=0,
1544.0,2008/2008,Manual,29000.0,Hatch,Flex,3804.0,,Prata,Suspensão,2465.0,1.0,1641.0,Volkswagen,1.0,Volkswagen Fox,5.0,968.0,260.0,50.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/volkswagen/fox/2008/city-1-0-8v-flex-2p/detalhes/9621736?page=detail&sort=0,160.0
1487.0,2011/2011,Manual,33300.0,Hatch,Flex,3935.0,,Prata,Suspensão,2488.0,1.0,1765.0,Ford,1.0,Ford Fiesta Hatch,5.0,1084.0,305.0,54.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/ford/fiesta-hatch/2011/1-0-flex/detalhes/9621848?page=detail&sort=0,146.0
1780.0,2014/2014,Automática,131600.0,Picapes,Diesel,5115.0,,Preto,Suspensão,3000.0,15.6,1800.0,Mitsubishi,3.2,Mitsubishi L200 Triton Sport,5.0,1945.0,,90.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/mitsubishi/l200-triton-sport/2014/3-2-did-h-hpe-4wd-aut/detalhes/9621927?page=detail&sort=0,
1470.0,2021/2022,Manual,60600.0,Hatch,Flex,3940.0,13.1,Prata,Elétrica,2530.0,70.066,1720.0,Hyundai,1.0,Hyundai HB20,5.0,989.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/hyundai/hb20/2022/vision-1-0/detalhes/9689775?page=detail&sort=0,161.0
1590.0,2022/2022,Automática,107800.0,SUV,Flex,4310.0,11.4,Branco,Elétrica,2610.0,51.395,1760.0,Nissan,1.6,Nissan Kicks,5.0,1139.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/nissan/kicks/2022/exclusive-1-6/detalhes/9689812?page=detail&sort=0,175.0
1685.0,2022/2023,Automática,165900.0,SUV,Gasolina,4405.0,,Cinza,Elétrica,2670.0,50.579,1805.0,Mitsubishi,1.5,Mitsubishi Eclipse Cross,5.0,1605.0,473.0,60.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/mitsubishi/eclipse-cross/2023/hpe-s-sport-1-5-16v-aut/detalhes/9689829?page=detail&sort=0,
1685.0,2022/2023,Automática,167990.0,SUV,Gasolina,4405.0,,Cinza,Elétrica,2670.0,50.579,1805.0,Mitsubishi,1.5,Mitsubishi Eclipse Cross,5.0,1605.0,473.0,60.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/mitsubishi/eclipse-cross/2023/hpe-s-sport-1-5-16v-aut/detalhes/9692239?page=detail&sort=0,
1684.0,2021/2022,Automática,97900.0,Monovolume,Flex,4416.0,11.1,Branco,Elétrica,2620.0,50.566,1735.0,Chevrolet,1.8,Chevrolet Spin,7.0,1235.0,162.0,53.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/spin/2022/premier-1-8-aut-flex/detalhes/9692636?page=detail&sort=0,
1590.0,2022/2022,Automática,108990.0,SUV,Flex,4310.0,11.4,Branco,Elétrica,2610.0,51.395,1760.0,Nissan,1.6,Nissan Kicks,5.0,1139.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/nissan/kicks/2022/exclusive-1-6/detalhes/9725866?page=detail&sort=0,175.0
1684.0,2021/2022,Automática,100390.0,Monovolume,Flex,4416.0,11.1,Branco,Elétrica,2620.0,50.566,1735.0,Chevrolet,1.8,Chevrolet Spin,7.0,1235.0,162.0,53.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/spin/2022/premier-1-8-aut-flex/detalhes/9740889?page=detail&sort=0,
1470.0,2021/2022,Manual,62190.0,Hatch,Flex,3940.0,13.1,Prata,Elétrica,2530.0,70.066,1720.0,Hyundai,1.0,Hyundai HB20,5.0,989.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/hyundai/hb20/2022/vision-1-0/detalhes/9782974?page=detail&sort=0,161.0
1684.0,2022/2023,Automática,100700.0,Monovolume,Flex,4360.0,,Branco,Elétrica,2620.0,49.991,1735.0,Chevrolet,1.8,Chevrolet Spin,7.0,1235.0,162.0,53.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/spin/2023/premier-1-8-aut/detalhes/9692646?page=detail&sort=0,168.0
1626.0,2022/2023,Automática,122700.0,SUV,Flex,4270.0,,Branco,Elétrica,2570.0,50.331,1791.0,Chevrolet,1.2,Chevrolet Tracker,5.0,1271.0,393.0,44.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/tracker/2023/premier-1-2-turbo-aut/detalhes/9692640?page=detail&sort=0,185.0
1480.0,2020/2021,Manual,47990.0,Hatch,Flex,3820.0,,Branco,Hidráulica,2376.0,65.492,1636.0,Fiat,1.0,Fiat Uno,5.0,955.0,280.0,48.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/fiat/uno/2021/attractive-1-0/detalhes/9774139?page=detail&sort=0,153.0
1453.0,2022/2023,Automática,73990.0,Hatch,Flex,4055.0,10.9,Branco,Elétrica,2538.0,42.985,1738.0,Peugeot,1.6,Peugeot 208,5.0,1227.0,265.0,47.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/peugeot/208/2023/active-1-6-flex-aut/detalhes/9782985?page=detail&sort=0,
1626.0,2022/2023,Automática,119990.0,SUV,Flex,4270.0,,Branco,Elétrica,2570.0,50.331,1791.0,Chevrolet,1.2,Chevrolet Tracker,5.0,1271.0,393.0,44.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/tracker/2023/premier-1-2-turbo-aut/detalhes/9782994?page=detail&sort=0,185.0
,2020/2021,Automática,105990.0,,Flex,,,Prata,Suspensão,,67.583,,Chevrolet,,Chevrolet Tracker,,,,,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/tracker/2021/lt-1-0-turbo-aut-flex/detalhes/9387003?page=detail&sort=0,
1504.0,2014/2014,Manual,47000.0,Hatch,Flex,3875.0,,Várias,Suspensão,2420.0,1.0,1670.0,Fiat,1.4,Fiat Palio,5.0,1007.0,290.0,,https://www.mobiauto.com.br/comprar/carros/rn-natal/fiat/palio/2014/attractive-1-4-8v-flex/detalhes/9828631?page=detail&sort=0,171.0
1510.0,2014/2014,Manual,48000.0,Sedan,Flex,4265.0,11.9,Várias,Suspensão,2550.0,1.0,1695.0,Toyota,1.5,Toyota Etios Sedan,5.0,955.0,562.0,45.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/toyota/etios-sedan/2014/x-1-5-flex/detalhes/9828647?page=detail&sort=0,
1509.0,2013/2013,Manual,63000.0,Picapes,Flex,4526.0,,Várias,Suspensão,2750.0,1.0,1729.0,Volkswagen,1.6,Volkswagen Saveiro,2.0,1120.0,,55.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/volkswagen/saveiro/2013/cross-1-6-flex-cab-estendida/detalhes/9828657?page=detail&sort=0,175.0
1722.0,2021/2021,Automática,125900.0,SUV,Diesel,4232.0,,Branco,Elétrica,2570.0,44.7,1798.0,Jeep,2.0,Jeep Renegade,5.0,1641.0,320.0,60.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/jeep/renegade/2021/longitude-2-0-tdi-4x4-aut/detalhes/11017759?page=detail&sort=0,
1476.0,2021/2021,Manual,66990.0,Hatch,Flex,4163.0,11.2,Prata,Elétrica,2551.0,95.092,1731.0,Chevrolet,1.0,Chevrolet Onix,5.0,1075.0,291.0,44.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/onix/2021/lt-1-0-flex/detalhes/11034372?page=detail&sort=0,16.0
1475.0,2013/2013,Automática,59900.0,Sedan,Flex,4600.0,,Prata,Suspensão,2685.0,130.0,1788.0,Chevrolet,1.8,Chevrolet Cruze,5.0,1436.0,450.0,60.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/cruze/2013/ltz-1-8-16v-ecotec-autflex/detalhes/11029221?page=detail&sort=0,203.0
1724.0,2015/2016,Automática,120990.0,SUV,Gasolina,4599.0,,Branco,Suspensão,2741.0,68.498,1894.0,Land Rover,2.0,Land Rover Discovery Sport,7.0,1863.0,194.0,70.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/land-rover/discovery-sport/2016/2-0-si4-se-4wd/detalhes/11233117?page=detail&sort=0,
1490.0,2012/2012,Automática,33900.0,Hatch,Gasolina,3595.0,,Prata,Suspensão,2385.0,108.0,1595.0,Kia,1.0,Kia Picanto,5.0,970.0,292.0,35.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/kia/picanto/2012/ex-1-0-aut/detalhes/10851943?page=detail&sort=0,
1470.0,2017/2017,Manual,49900.0,Hatch,Flex,3920.0,12.5,Branco,Hidráulica,2500.0,83.0,1680.0,Hyundai,1.0,Hyundai HB20,5.0,990.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/hyundai/hb20/2017/1-0-comfort-flex/detalhes/11272931?page=detail&sort=0,158.0
1528.0,2012/2013,Manual,33900.0,Hatch,Etanol,3780.0,,Prata,Suspensão,2450.0,143.0,1665.0,Nissan,1.6,Nissan March,5.0,964.0,265.0,41.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/nissan/march/2013/1-6-16v-s-flex/detalhes/10833358?page=detail&sort=0,191.0
