altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1510.0,2014/2014,Manual,43000.0,Hatch,Flex,3777.0,12.4,Prata,Suspensão,2460.0,111.166,1695.0,Toyota,1.5,Toyota Etios,5.0,945.0,270.0,45.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/toyota/etios/2014/xs-1-5-flex/detalhes/11294108?page=detail&sort=0,
,2021/2022,Manual,93000.0,Picapes,Flex,,,Vermelho,Elétrica,,70.418,,Fiat,1.3,Fiat Strada,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2022/freedom-1-3-cd-flex/detalhes/11525754?page=detail&sort=0,
1281.0,2023/2023,Automática,699000.0,Conversível,Flex,4379.0,,Cinza,Elétrica,2475.0,1.965,1801.0,Porsche,2.0,Porsche 718 Boxster,2.0,1365.0,275.0,54.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/porsche/718-boxster/2023/2-0-turbo/detalhes/11538038?page=detail&sort=0,
1598.0,2020/2021,Automática,194990.0,SUV,Flex,4439.0,,Branco,Elétrica,2670.0,33.0,1821.0,BMW,2.0,BMW X1,5.0,1485.0,505.0,61.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/bmw/x1/2021/sdrive20i-x-line-2-0-turbo-flex-aut/detalhes/11019955?page=detail&sort=0,10.0
1536.0,2017/2018,Manual,43000.0,Hatch,Flex,4060.0,14.2,Vermelho,Suspensão,2590.0,82.291,1733.0,Renault,1.0,Renault Sandero,5.0,1011.0,320.0,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/renault/sandero/2018/expression-1-0-12v-sce-flex/detalhes/11580668?page=detail&sort=0,160.0
1501.0,2019/2019,Manual,43000.0,Hatch,Flex,3566.0,13.7,Branco,Suspensão,2305.0,67.889,1633.0,Fiat,1.0,Fiat Mobi,5.0,945.0,215.0,47.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/mobi/2019/firefly-drive-1-0-flex/detalhes/11580804?page=detail&sort=0,161.0
,2021/2022,Manual,51490.0,Hatch,Flex,0.0,,Branco,Suspensão,,60.015,,Fiat,,Fiat Mobi,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/mobi/2022/like-1-0/detalhes/11636558?page=detail&sort=0,
,2021/2022,Manual,64330.0,Sedan,Flex,0.0,,Prata,Suspensão,,49.064,,Volkswagen,,Volkswagen Voyage,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/volkswagen/voyage/2022/1-6-msi-8v-flex/detalhes/11636572?page=detail&sort=0,
1696.0,2021/2021,Automática,91410.0,SUV,Flex,4232.0,,Cinza,Hidráulica,2570.0,49.082,1798.0,Jeep,1.8,Jeep Renegade,5.0,1465.0,320.0,60.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/jeep/renegade/2021/longitude-1-8-4x2-aut-flex/detalhes/11636570?page=detail&sort=0,180.0
,2022/2022,Manual,60450.0,Hatch,Flex,0.0,,Branco,Suspensão,,55.528,,Hyundai,,Hyundai HB20,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/hyundai/hb20/2022/sense-1-0/detalhes/11636653?page=detail&sort=0,
1507.0,2021/2021,Manual,57980.0,Sedan,Flex,4290.0,11.1,Branco,Hidráulica,2511.0,57.835,1700.0,Fiat,1.4,Fiat Grand Siena,5.0,1094.0,520.0,48.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/grand-siena/2021/evo-attractive-1-4-8v-flex/detalhes/11636669?page=detail&sort=0,
1590.0,2022/2022,Automática,95990.0,SUV,Flex,4310.0,11.6,Preto,Elétrica,2610.0,54.541,1760.0,Nissan,1.6,Nissan Kicks,5.0,1104.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/nissan/kicks/2022/sense-1-6/detalhes/11636725?page=detail&sort=0,173.0
,2022/2023,Automática,112920.0,,Flex,0.0,,Preto,Suspensão,,41.932,,Renault,,Renault Captur,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/renault/captur/2023/intense-1-3-turbo-cvt/detalhes/11636694?page=detail&sort=0,
1470.0,2022/2022,Manual,67990.0,Hatch,Flex,3940.0,12.8,Branco,Elétrica,2530.0,59.601,1720.0,Hyundai,1.0,Hyundai HB20,5.0,989.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/hyundai/hb20/2022/evolution-bluelink-1-0/detalhes/11636743?page=detail&sort=0,158.0
1702.0,2022/2022,Automática,215610.0,SUV,Diesel,4769.0,,Cinza,Elétrica,2794.0,43.516,1859.0,Jeep,2.0,Jeep Commander,7.0,1885.0,661.0,61.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/jeep/commander/2022/limited-td380-diesel-4x4-aut/detalhes/11636791?page=detail&sort=0,
1470.0,2022/2022,Automática,72450.0,Hatch,Flex,3940.0,12.2,Cinza,Elétrica,2530.0,60.741,1720.0,Hyundai,1.0,Hyundai HB20,5.0,990.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/hyundai/hb20/2022/1-0-vision-aut-flex/detalhes/11636844?page=detail&sort=0,
,2022/2023,Manual,79200.0,Picapes,Flex,0.0,,Branco,Suspensão,,41.841,,Fiat,,Fiat Strada,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2023/endurance-1-4-cs/detalhes/11636869?page=detail&sort=0,
,2022/2023,Manual,79200.0,Picapes,Flex,0.0,,Branco,Suspensão,,40.374,,Fiat,,Fiat Strada,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2023/endurance-1-4-cs/detalhes/11636911?page=detail&sort=0,
,2022/2023,Manual,56010.0,Hatch,Flex,0.0,,Branco,Suspensão,,58.304,,Fiat,,Fiat Mobi,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/mobi/2023/like-1-0/detalhes/11636921?page=detail&sort=0,
1659.0,2023/2024,Automática,151990.0,Picapes,Flex,4717.0,11.1,Preto,Elétrica,2800.0,0.0,1798.0,Chevrolet,1.2,Chevrolet Montana,5.0,1310.0,874.0,44.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/chevrolet/montana/2024/premier-1-2-turbo-aut/detalhes/8778194?page=detail&sort=0,180.0
