altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1583.0,2022/2022,Automática,75190.0,SUV,Diesel,4170.0,10.5,Branco,Elétrica,2537.0,40.554,1739.0,Peugeot,1.6,Peugeot 2008,5.0,1215.0,355.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/peugeot/2008/2022/allure-pack-1-6/detalhes/9473818?page=detail&sort=0,186.0
1506.0,2013/2014,Manual,25990.0,Sedan,Flex,4290.0,,Branco,Suspensão,2511.0,105.0,1700.0,Fiat,1.4,Fiat Grand Siena,5.0,1149.0,520.0,48.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/fiat/grand-siena/2014/tetrafuel-1-4-8v/detalhes/11454804?page=detail&sort=0,165.0
1525.0,2019/2020,Manual,58000.0,Hatch,Flex,3941.0,,Branco,Suspensão,2490.0,59.0,1774.0,Ford,1.5,Ford Ka,5.0,1108.0,257.0,51.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/ford/ka/2020/1-5-se-aut-flex/detalhes/10923015?page=detail&sort=0,11.0
1534.0,2022/2023,Automática,93790.0,SUV,Flex,4170.0,10.4,Vermelho,Elétrica,2600.0,42.381,1714.0,Citroën,1.6,Citroën C4 Cactus,5.0,1204.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/citroen/c4-cactus/2023/1-6-feel-pack-aut-flex/detalhes/11629301?page=detail&sort=0,13.0
1684.0,2022/2023,Automática,105990.0,Monovolume,Flex,4360.0,,Cinza,Elétrica,2620.0,47.878,1735.0,Chevrolet,1.8,Chevrolet Spin,7.0,1235.0,162.0,53.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/spin/2023/premier-1-8-aut/detalhes/11629305?page=detail&sort=0,168.0
1590.0,2022/2022,Automática,96990.0,SUV,Flex,4295.0,11.4,Cinza,Elétrica,2610.0,32.57,1760.0,Nissan,1.6,Nissan Kicks,5.0,1142.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/nissan/kicks/2022/1-6-active-s-aut-flex-pcd/detalhes/11636193?page=detail&sort=0,
1484.0,2022/2022,Automática,103490.0,Hatch,Flex,4448.0,11.1,Cinza,Elétrica,2700.0,42.94,1807.0,Chevrolet,1.4,Chevrolet Cruze Sport6,5.0,1310.0,290.0,52.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/cruze-sport6/2022/lt-1-4-16v-ecotec-aut-flex/detalhes/11629316?page=detail&sort=0,
1474.0,2021/2021,Manual,48000.0,Hatch,Flex,3680.0,10.8,Branco,Elétrica,2423.0,35.0,1579.0,Renault,1.0,Renault Kwid,5.0,779.0,290.0,38.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/renault/kwid/2021/zen-1-0-12v-sce-flex/detalhes/9823069?page=detail&sort=0,152.0
1508.0,2022/2022,Manual,73000.0,Sedan,Flex,4364.0,,Prata,Elétrica,2521.0,13.5,1726.0,Fiat,1.3,Fiat Cronos,5.0,1139.0,525.0,48.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/fiat/cronos/2022/drive-1-3-s-design-flex/detalhes/10705007?page=detail&sort=0,13.0
1536.0,2015/2015,Manual,37000.0,Hatch,Flex,4060.0,11.9,Vermelho,Suspensão,2590.0,88.0,1733.0,Renault,1.0,Renault Sandero,5.0,1013.0,320.0,50.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/renault/sandero/2015/authentique-hii-power-1-0-16v-flex/detalhes/10226305?page=detail&sort=0,160.0
1702.0,2022/2022,Automática,106990.0,SUV,Flex,4268.0,,Cinza,Elétrica,2570.0,74.981,1805.0,Jeep,1.3,Jeep Renegade,5.0,1476.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/jeep/renegade/2022/longitude-1-3-turbo-4x2/detalhes/11569495?page=detail&sort=0,209.0
1463.0,2014/2015,Manual,43000.0,Hatch,Flex,3895.0,11.6,Branco,Suspensão,2465.0,88.602,1649.0,Volkswagen,1.0,Volkswagen Gol,5.0,946.0,285.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/volkswagen/gol/2015/1-0-tec-comfortline-flex-2p/detalhes/8546310?page=detail&sort=0,161.0
1472.0,2019/2020,Automática,80000.0,Sedan,Flex,4482.0,11.2,Cinza,Suspensão,2651.0,138.014,1751.0,Volkswagen,1.0,Volkswagen Virtus,5.0,1226.0,521.0,52.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/volkswagen/virtus/2020/1-0-200-tsi-comfortline-flex-aut/detalhes/10940483?page=detail&sort=0,187.0
1635.0,2020/2021,Automática,108000.0,SUV,Flex,4290.0,10.1,Dourado,Elétrica,2590.0,0.0,1780.0,Hyundai,1.6,Hyundai Creta,5.0,1359.0,431.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/hyundai/creta/2021/smart-plus-1-6-aut-flex/detalhes/6259886?page=detail&sort=0,
1476.0,2021/2022,Manual,90000.0,Hatch,Flex,4163.0,,Cinza,Elétrica,2551.0,0.0,1731.0,Chevrolet,1.0,Chevrolet Onix,5.0,1075.0,291.0,44.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/onix/2022/ltz-1-0-turbo-flex-aut/detalhes/6259909?page=detail&sort=0,
1679.0,2018/2018,Automática,63000.0,Monovolume,Flex,4360.0,8.9,Azul,Suspensão,2620.0,0.0,1735.0,Chevrolet,1.8,Chevrolet Spin,5.0,1212.0,710.0,53.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/spin/2018/advantage-5s-1-8-flex-aut/detalhes/6259924?page=detail&sort=0,
1420.0,2012/2013,Manual,23990.0,Hatch,Flex,3836.0,,Prata,Suspensão,2452.0,146.171,1641.0,Ford,1.0,Ford Ka,5.0,936.0,263.0,45.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/ford/ka/2013/ka-1-0-fly-flex/detalhes/11364706?page=detail&sort=0,
