id,endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,url,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,bairro_completo,latitude,longitude,z_lat,z_lon
2626946864,"Rua Jabuticaba, Morada do Sol",430000,178,NA,NA,3,4,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++morada-do-sol/?pagina=1,morada_do_sol,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,morada do sol,-10.0067609,-67.8223465,-0.44068868694910246,0.23522067547198314
2627323963,"Rua 10 de Julho, Placas",250000,203,NA,NA,3,NA,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++placas/?pagina=1,placas,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,placas,-9.9397627,-67.824719,-0.08405743983448502,0.2323678092961118
2636058651,"Via Verde, Praia do Amapa",210000,300,NA,NA,0,0,0,https://www.zapimoveis.com.br/venda/terrenos-lotes-condominios/ac+rio-branco++praia-do-amapa/?pagina=1,praia_do_amapa,terrenos_lotes_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,praia do amapa,-10.0084313,-67.8290091,-0.44958022187362695,0.22720908171716753
2631423987,"Rua da Paz, Raimundo Melo",300000,170,NA,NA,4,1,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++raimundo-melo/?pagina=1,raimundo_melo,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,raimundo melo,-10.0329448,-67.7956981,-0.5800655196300429,0.2672646455461087
2635587261,"Rua do Divisor, Sao Francisco",175000,60,NA,NA,2,NA,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++s-francisco/?pagina=1,s_francisco,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sao francisco,-10.1091853,-67.3518243,-0.9858935059885138,0.8010107152496772
2589783457,"Avenida Eugênio Beco Bezerra, Sao Francisco",420000,108,NA,355,3,2,3,https://www.zapimoveis.com.br/venda/casas-de-condominio/ac+rio-branco++s-francisco/?pagina=1,s_francisco,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,sao francisco,-10.1091853,-67.3518243,-0.9858935059885138,0.8010107152496772
2619954320,"Alameda Antonio Pessoa Jucá, Tancredo Neves",160000,590,NA,NA,0,0,0,https://www.zapimoveis.com.br/venda/terrenos-lotes-condominios/ac+rio-branco++tancredo-neves/?pagina=1,tancredo_neves,terrenos_lotes_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,tancredo neves,-9.9486497,-67.8495591,-0.13136291808775288,0.2024982703730229
2635394685,"Rua Senira Nogueira, Vila Ivonete",430000,173,NA,NA,3,2,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++vl-ivonete/?pagina=1,vl_ivonete,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vila ivonete,-9.9501155,-67.8243002,-0.13916536773596178,0.23287140480905907
2566850602,"Rua Vicente Lucena, Vila Ivonete",320000,252,NA,NA,5,5,3,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++vl-ivonete/?pagina=1,vl_ivonete,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vila ivonete,-9.9501155,-67.8243002,-0.13916536773596178,0.23287140480905907
2602474889,"Rua Campina Grande, Vila Ivonete",395000,250,NA,NA,3,4,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++vl-ivonete/?pagina=1,vl_ivonete,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vila ivonete,-9.9501155,-67.8243002,-0.13916536773596178,0.23287140480905907
2627362065,"Rua Leandro Melo, Xavier Maia",320000,220,NA,NA,3,2,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++xavier-maia/?pagina=1,xavier_maia,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,xavier maia,-9.9326224,-67.8179748464997,-0.046049641210456876,0.24047746889815744
2565531882,"Rua do Coqueiro, Xavier Maia",160000,36,NA,NA,1,2,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++xavier-maia/?pagina=1,xavier_maia,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,xavier maia,-9.9326224,-67.8179748464997,-0.046049641210456876,0.24047746889815744
